id,average_length(inches)),average_weight(inches)),habitat,ph_of_water,color,Gender,life_span
394,13.89,2.17,slowmovingwaters,7.1,White,FALSE,5.4
395,12.88,13.72,rivers,6.1,Black_and_Orange,FALSE,19.8
396,15.59,6.97,idlewater,7.4,White,FALSE,3.4
397,6.94,8.93,lakes,7.9,Orange,FALSE,8.7
398,14.56,16.93,lakes,7.3,Yellow,TRUE,17.8
399,12.59,8.58,ponds,6.3,White,FALSE,22.1
400,18.63,8.75,slowmovingwaters,6.5,Calico,TRUE,2.3
401,14.6,5.19,lakes,6.4,Orange,TRUE,16.3
402,1.83,7.74,rivers,7.3,Reddish_Orange,TRUE,11.7
403,13.25,16.04,slowmovingwaters,6.1,Yellow,FALSE,7.1
404,9.51,3.02,rivers,6.9,Red_and_White_Bi_Color,TRUE,2.7
405,1.42,6.59,lakes,7.8,Green_and_Chocolate,FALSE,10.4
406,9.67,13.61,rivers,7.6,Black_and_Orange,FALSE,19.2
407,3.7,8.24,slowmovingwaters,7.3,White,TRUE,25.6
408,9.3,10.54,ponds,7.3,Reddish_Orange,TRUE,21.9
409,2.13,18.68,slowmovingwaters,7.5,Green_and_Chocolate,TRUE,17.3
410,3.8,11.79,ponds,7.2,Red_and_Silver,FALSE,27.4
411,11.12,7.72,ponds,7.3,Orange,FALSE,14.9
412,19.26,4.06,rivers,6.4,Orange,TRUE,20
413,18.96,7.51,idlewater,7.7,Red_and_Silver,TRUE,7.5
414,5.74,5.05,lakes,6.7,Calico,FALSE,23.4
415,11.53,12.96,lakes,6.1,Red_and_Silver,FALSE,17.1
416,8.93,2.16,ponds,7.8,White,FALSE,15.9
417,1.57,15.83,ponds,6.6,Calico,FALSE,9.4
418,13.99,3.09,rivers,6,Black_and_Orange,TRUE,8.6
419,10.03,15.13,slowmovingwaters,6.1,Yellow,FALSE,24.5
420,5.83,15.57,lakes,6.2,Yellow,TRUE,5.6
421,6.66,7.29,rivers,6.2,White,TRUE,16.3
422,17,17.28,lakes,7.2,Reddish_Orange,FALSE,19.5
423,3.25,2.67,slowmovingwaters,6.1,White,FALSE,21.5
424,10.47,9.32,lakes,7.7,Yellow,TRUE,15.6
425,18.73,4.15,slowmovingwaters,7.5,Black_and_Orange,TRUE,25.1
426,3.54,18.11,lakes,7.2,Calico,TRUE,1.3
427,3.79,5.2,ponds,7.5,Red_and_White_Bi_Color,FALSE,13.7
428,9.46,18.45,idlewater,6.1,Green_and_Chocolate,TRUE,14.4
429,16.98,18.82,rivers,6.5,Orange,FALSE,21.6
430,14.02,17.89,rivers,6.6,Red_and_White_Bi_Color,TRUE,6.1
431,5.11,10.69,slowmovingwaters,7.9,Black_and_Orange,FALSE,20.9
432,12.19,12.69,lakes,6.9,White,FALSE,18.3
433,6.04,18.27,lakes,6.5,Red_and_White_Bi_Color,FALSE,27.3
434,9.11,17.25,rivers,6.9,Green_and_Chocolate,FALSE,16
435,5.47,5.56,ponds,7.3,Black_and_Orange,FALSE,20.4
436,6.95,4.51,slowmovingwaters,7.1,Green_and_Chocolate,FALSE,27.4
437,10.17,8.37,slowmovingwaters,6.6,Yellow,TRUE,9.1
438,5.57,3.96,ponds,6.6,Black_and_Orange,FALSE,8.8
439,19.62,12.76,slowmovingwaters,6.8,Red_and_Silver,FALSE,20.1
440,9.82,6.56,rivers,7.3,Green_and_Chocolate,FALSE,8.1
441,18.55,5.08,lakes,7.1,Orange,TRUE,4
442,10.73,18.64,ponds,7.5,Yellow,TRUE,26.8
443,1.46,11.21,lakes,7.9,Calico,TRUE,25.8
444,15.67,17.78,lakes,6.2,Red_and_White_Bi_Color,FALSE,18.9
445,12.61,17.14,rivers,7.9,Orange,FALSE,26.4
446,18.41,14.78,slowmovingwaters,7.1,Green_and_Chocolate,TRUE,3
447,2.04,8.38,idlewater,7.2,Green_and_Chocolate,FALSE,8.9
448,5.08,2.89,ponds,6.5,Orange,FALSE,20.9
449,16.07,16.67,idlewater,7.9,Green_and_Chocolate,TRUE,2.1
450,17.95,18.18,lakes,6,Red_and_White_Bi_Color,TRUE,7.5
451,8.13,16.75,idlewater,6.2,Orange,FALSE,17.2
452,9.78,3.66,lakes,7.6,Yellow,FALSE,26.1
453,16.72,18.02,idlewater,6.1,Green_and_Chocolate,FALSE,23.4
454,2.73,3.33,slowmovingwaters,6.5,Black_and_Orange,TRUE,19.2
455,11.03,5.92,lakes,6.5,Yellow,FALSE,23
456,5.48,8.35,slowmovingwaters,6.6,Green_and_Chocolate,TRUE,11.8
457,2.75,3.3,ponds,6.3,Green_and_Chocolate,FALSE,2.9
458,14.86,17.49,ponds,7.8,Orange,FALSE,3.1
459,5.71,5.79,idlewater,6.9,Yellow,FALSE,6
460,11.39,14.56,idlewater,6.1,White,FALSE,8.2
461,17.79,15.59,idlewater,7.3,Reddish_Orange,FALSE,21.9
462,5.75,9.23,ponds,7.4,Calico,TRUE,2.7
463,10.28,4.04,idlewater,6,Orange,FALSE,19.5
464,8.2,10.71,rivers,8,Yellow,TRUE,23.4
465,3.76,8.7,lakes,6.9,Yellow,TRUE,5.4
466,19.79,8.43,idlewater,6.6,Calico,TRUE,26
467,10.57,18.33,lakes,6.5,Yellow,TRUE,4.3
468,10.29,9.47,lakes,6.5,Red_and_Silver,TRUE,5.8
469,4.82,9.66,lakes,7.1,Green_and_Chocolate,TRUE,20.9
470,1.21,18.79,lakes,6.6,Orange,FALSE,27.7
471,14.44,10.39,rivers,7.3,Reddish_Orange,FALSE,19.8
472,9.26,18.75,ponds,7.8,Reddish_Orange,TRUE,14.9
473,13.9,9.07,slowmovingwaters,7.8,Black_and_Orange,TRUE,4.6
474,13.71,7.33,idlewater,6.9,Green_and_Chocolate,TRUE,23.3
475,19.01,13.93,idlewater,7.1,Yellow,FALSE,25.3
476,16.68,14.96,ponds,7.9,Calico,FALSE,15.2
477,1.91,18.15,slowmovingwaters,6.7,Red_and_White_Bi_Color,FALSE,21.3
478,3.88,8.4,ponds,7.6,Green_and_Chocolate,FALSE,22
479,15.44,2.86,idlewater,6.7,White,TRUE,16.2
480,14.77,12.16,ponds,7.1,Calico,FALSE,23.2
481,19.76,12.04,slowmovingwaters,6.3,Red_and_White_Bi_Color,TRUE,24.5
482,18.58,9.41,slowmovingwaters,7.4,White,TRUE,14.8
483,2.32,9.02,slowmovingwaters,7.2,Yellow,TRUE,24.1
484,13.66,3.41,ponds,6.6,Black_and_Orange,FALSE,13.7
485,8.78,18.31,rivers,6.7,Green_and_Chocolate,FALSE,2.5
486,15.98,4.36,slowmovingwaters,6.7,Orange,TRUE,11.6
487,2.67,10.74,ponds,6.1,Orange,FALSE,13
488,18.3,11.06,ponds,7.7,Green_and_Chocolate,TRUE,18.9
489,11.58,18.74,slowmovingwaters,6.6,Orange,TRUE,3.2
490,4.17,8.06,ponds,8,Yellow,FALSE,2.2
491,2.9,6.13,ponds,7.5,Black_and_Orange,FALSE,18.9
492,14.26,15.43,lakes,6.1,Orange,FALSE,17
493,17.01,7.56,ponds,6.8,Red_and_Silver,FALSE,27.9
494,14.17,10.59,ponds,7.5,Black_and_Orange,FALSE,16.8
495,18.87,11.91,ponds,7.7,Calico,FALSE,16
496,15.33,17.13,rivers,6.1,Red_and_Silver,TRUE,23.5
497,14.6,16.92,ponds,6.3,White,TRUE,5.3
498,9.47,4.71,slowmovingwaters,7.3,Yellow,FALSE,10
499,19.97,15.96,ponds,7.2,Calico,FALSE,1.3
500,17.1,16.93,slowmovingwaters,6.8,Reddish_Orange,TRUE,16.5
501,18.54,9.49,ponds,7,Red_and_White_Bi_Color,FALSE,5.2
502,1.29,5.84,idlewater,6.3,Green_and_Chocolate,FALSE,26.3
503,10.32,13.38,idlewater,7.4,Red_and_Silver,TRUE,22.7
504,14.12,11.57,idlewater,6.2,Black_and_Orange,TRUE,11.6
505,15.5,15.86,idlewater,7,Yellow,TRUE,18.5
506,14.84,15.26,ponds,7.1,Red_and_White_Bi_Color,TRUE,6.8
507,7.37,14.33,ponds,7.7,Black_and_Orange,FALSE,15.1
508,2.8,3.62,slowmovingwaters,7.1,Yellow,FALSE,2
509,8.06,8.61,idlewater,7.1,Green_and_Chocolate,TRUE,15.9
510,17.97,10.76,lakes,7.3,Orange,FALSE,9.9
511,5.03,7.23,ponds,7.7,Yellow,FALSE,9.9
512,18.26,14.5,rivers,6.6,Calico,TRUE,9.7
513,1.11,4.47,rivers,7.2,Orange,FALSE,26.7
514,7.58,5.68,rivers,7.5,Calico,TRUE,15.2
515,18.45,8.83,rivers,7.2,Red_and_Silver,TRUE,7.7
516,3.27,16.95,lakes,6.4,Reddish_Orange,TRUE,22.1
517,13.23,13.69,ponds,6.2,White,FALSE,22.9
518,18.41,13.23,slowmovingwaters,7.7,Reddish_Orange,TRUE,19.2
519,13.11,11.38,lakes,7.6,Calico,FALSE,20.5
520,11.58,3.26,slowmovingwaters,7.1,Orange,FALSE,7.5
521,13.4,8.97,idlewater,7,Red_and_White_Bi_Color,TRUE,6.1
522,14.39,3.32,rivers,7.5,Yellow,TRUE,18.6
523,8.28,18.84,idlewater,7.4,Yellow,TRUE,18.8
524,4.96,15.28,lakes,7.3,Red_and_Silver,FALSE,2.8
525,12.63,4.15,ponds,6,Yellow,TRUE,16.7
526,2.25,15.15,lakes,7.1,Reddish_Orange,TRUE,11
527,13.56,12.66,slowmovingwaters,8,Calico,TRUE,24.4
528,17.06,11.97,slowmovingwaters,6.6,Black_and_Orange,TRUE,11.8
529,1.13,6.09,rivers,7.5,Orange,FALSE,9.4
530,6.38,8.07,slowmovingwaters,6.9,Reddish_Orange,FALSE,11.1
531,3.33,5.63,slowmovingwaters,7.5,Black_and_Orange,TRUE,21.6
532,9.99,14.62,rivers,7.2,Orange,TRUE,21.6
533,7.01,8.26,lakes,7.2,Green_and_Chocolate,FALSE,12.6
534,2.57,13.8,idlewater,6.4,Reddish_Orange,FALSE,19.8
535,10.54,16.01,slowmovingwaters,7.5,Orange,TRUE,7.4
536,18.25,17.72,idlewater,6.4,White,TRUE,4.9
537,7.74,9.08,lakes,6.4,Orange,TRUE,24.6
538,13.87,3.39,slowmovingwaters,6.1,Green_and_Chocolate,TRUE,21.9
539,9.86,3.11,idlewater,7.3,White,TRUE,18.9
540,8.44,14.05,lakes,6.7,Calico,TRUE,23.4
541,19.66,2.77,slowmovingwaters,6.2,White,TRUE,20
542,16.86,9.54,slowmovingwaters,6.3,Red_and_Silver,FALSE,1.6
543,7.92,8.73,rivers,6.7,White,FALSE,8.4
544,15.31,11.57,rivers,7.7,Reddish_Orange,TRUE,12.2
545,9.2,10.12,lakes,7.9,Calico,TRUE,14.7
546,3.23,18.03,ponds,7.6,Black_and_Orange,FALSE,15.5
547,11.96,12.07,slowmovingwaters,6.3,Red_and_Silver,TRUE,24.5
548,17.34,11.95,slowmovingwaters,6.2,Green_and_Chocolate,TRUE,27.1
549,1.19,16.49,lakes,7.2,Reddish_Orange,TRUE,17.3
550,16.17,5.73,lakes,7.2,Reddish_Orange,FALSE,19.4
551,2.04,18.25,rivers,6.8,Red_and_Silver,TRUE,19.2
552,16.27,17.6,ponds,7.5,White,FALSE,6.1
553,16.71,2.01,ponds,7.8,Red_and_White_Bi_Color,FALSE,6.2
554,6.49,13.68,slowmovingwaters,6.1,Red_and_White_Bi_Color,TRUE,12.6
555,19.04,18.35,idlewater,7.5,Red_and_Silver,FALSE,11.5
556,8.8,2.08,lakes,7.8,Orange,TRUE,17.4
557,12.89,9.87,slowmovingwaters,6.6,Orange,FALSE,11.2
558,3.42,13.2,lakes,7.5,Green_and_Chocolate,TRUE,5.4
559,12.9,9.28,ponds,7.7,Black_and_Orange,FALSE,21.8
560,1.3,8.27,lakes,7.3,Black_and_Orange,FALSE,27.9
561,10.35,16.25,rivers,7.8,Green_and_Chocolate,FALSE,14.2
562,14.46,18.2,ponds,6.3,White,TRUE,6.8
563,12.5,7.48,ponds,8,Orange,TRUE,19.2
564,19.2,6.44,lakes,7.9,Reddish_Orange,FALSE,4.8
565,4.95,11.79,ponds,7.2,Yellow,TRUE,25.5
566,9.63,4.73,rivers,6.1,Green_and_Chocolate,FALSE,8
567,19.04,13.86,rivers,7,Calico,FALSE,20.3
568,19.36,16.84,rivers,7.2,Calico,FALSE,23.4
569,9.51,5.79,ponds,6.1,Black_and_Orange,FALSE,9.2
570,14.36,12.81,lakes,7.7,Red_and_Silver,FALSE,1.9
571,2.77,6.24,ponds,7.2,Orange,TRUE,9.4
572,1.51,11.04,lakes,6.3,Calico,FALSE,18.7
573,14.97,2.01,slowmovingwaters,6.7,White,TRUE,21.8
574,8.03,10.53,rivers,7.5,Green_and_Chocolate,TRUE,19.6
575,1.52,3.01,idlewater,6.6,Yellow,TRUE,17.6
576,19.73,11.53,idlewater,7.4,Green_and_Chocolate,FALSE,23.9
577,9.09,8.48,slowmovingwaters,6.9,Orange,TRUE,2.1
578,6.28,2.71,lakes,6.5,Red_and_White_Bi_Color,FALSE,11.9
579,9.37,12.3,rivers,6.9,Green_and_Chocolate,FALSE,23.8
580,7.74,12.17,idlewater,6.4,Black_and_Orange,TRUE,9.3
581,3.42,3.73,ponds,6.3,Red_and_Silver,FALSE,9.6
582,14.53,17.51,rivers,7.6,Red_and_Silver,TRUE,19.9
583,13.6,2.65,ponds,7.8,Yellow,TRUE,16.8
584,2.09,3.55,ponds,6.9,Yellow,FALSE,15.6
585,13.28,13.85,lakes,7.6,Calico,TRUE,2.8
586,7.32,9.1,slowmovingwaters,6.8,Yellow,TRUE,17.5
587,3.52,15.78,idlewater,6.3,White,TRUE,17.4
588,14.31,17.52,slowmovingwaters,7.6,White,FALSE,13.9
589,8.68,17.16,lakes,6.6,Red_and_Silver,FALSE,26
590,1.6,13.95,idlewater,7.3,Calico,TRUE,10.9
591,10.35,5.16,slowmovingwaters,6.9,Red_and_White_Bi_Color,FALSE,2.2
592,19.53,5.68,rivers,8,Yellow,FALSE,19.1
593,17.3,11.92,rivers,6.4,Yellow,FALSE,24.5
594,12.17,9.88,idlewater,6.3,Yellow,FALSE,14.6
595,9.5,6.22,rivers,6.7,Red_and_White_Bi_Color,FALSE,5.9
596,5.09,18.44,rivers,7,Green_and_Chocolate,TRUE,12
597,14.65,14.1,lakes,7,Green_and_Chocolate,TRUE,21
598,14.58,8.24,lakes,7.4,Reddish_Orange,FALSE,11.5
599,13.36,13.44,ponds,6.4,Yellow,FALSE,13.4
600,9.18,17.87,slowmovingwaters,7.9,White,FALSE,7.9
601,16.55,3.22,lakes,6.7,Orange,FALSE,22.7
602,4.43,14.97,ponds,6.6,Reddish_Orange,FALSE,2.6
603,11.28,16,lakes,7,Reddish_Orange,FALSE,19.9
604,7.86,13.06,lakes,7.2,Red_and_Silver,TRUE,12.7
605,15.86,16.41,lakes,7,Black_and_Orange,TRUE,9.8
606,6.92,8.2,slowmovingwaters,6.8,Reddish_Orange,FALSE,9.9
607,17.4,14.22,ponds,7.9,Red_and_Silver,FALSE,25.6
608,11.5,7.09,lakes,6.1,White,TRUE,2.9
609,13.5,4.79,idlewater,7.8,Orange,TRUE,14.7
610,2.46,18.8,slowmovingwaters,7.4,Red_and_White_Bi_Color,FALSE,7.6
611,10.52,9.23,lakes,6.3,Green_and_Chocolate,FALSE,12.4
612,4.2,17.86,lakes,6.2,Black_and_Orange,TRUE,14.3
613,13.64,10.92,idlewater,7.5,White,TRUE,9.6
614,13.44,2.22,slowmovingwaters,7.8,Red_and_Silver,FALSE,11.1
615,7.33,12.75,lakes,7.7,Yellow,FALSE,27.4
616,17.11,8.17,rivers,6.3,White,FALSE,11.5
617,19.1,15.85,rivers,6.3,Yellow,FALSE,23.3
618,6.52,13.48,ponds,6.3,Red_and_Silver,TRUE,16.5
619,12.71,7.68,rivers,7.5,Yellow,FALSE,17.8
620,18.88,8.42,ponds,7.2,Yellow,FALSE,23.9
621,2.21,11.07,lakes,7.1,Green_and_Chocolate,TRUE,5.7
622,9.8,6.74,ponds,7.1,Red_and_White_Bi_Color,TRUE,15.2
623,8.49,14.22,rivers,7.8,Yellow,FALSE,9
624,14.64,17.96,idlewater,6.2,Calico,TRUE,11.5
625,9.63,14.21,lakes,7.8,Calico,TRUE,11.9
626,14.54,3.95,ponds,6.8,Yellow,FALSE,11.9
627,1.17,17.4,lakes,7.6,Black_and_Orange,TRUE,10
628,6.75,16.69,ponds,6.6,Green_and_Chocolate,FALSE,12.1
629,17.06,15.82,ponds,6.3,Green_and_Chocolate,TRUE,2.8
630,1.65,10.8,lakes,6.8,Green_and_Chocolate,FALSE,14.4
631,17.93,12.16,rivers,7.6,Reddish_Orange,TRUE,10.7
632,15.14,5.91,rivers,6.5,Black_and_Orange,FALSE,8.3
633,18.13,10.12,rivers,6.1,Black_and_Orange,FALSE,11.8
634,7.07,3.53,ponds,7.9,Red_and_Silver,TRUE,11.1
635,5.49,3.35,ponds,6.9,Black_and_Orange,TRUE,2.5
636,16.39,10,idlewater,7.2,Calico,FALSE,5.8
637,9.52,14.34,idlewater,6.2,Black_and_Orange,FALSE,2.2
638,3.27,5.66,slowmovingwaters,7,Green_and_Chocolate,TRUE,8.3
639,16.87,4.63,idlewater,6.4,Calico,FALSE,4
640,15.09,16.04,ponds,6.3,Green_and_Chocolate,TRUE,21.6
641,7.42,8.85,ponds,7.2,Calico,TRUE,3.5
642,6.15,6.08,idlewater,6,Reddish_Orange,FALSE,27.4
643,16.42,13.71,rivers,7.1,Green_and_Chocolate,TRUE,15.7
644,2.75,18.47,ponds,7.5,Orange,TRUE,3.3
645,1.1,4.33,slowmovingwaters,7.5,Orange,FALSE,23.5
646,2.47,16.23,ponds,7.2,Red_and_White_Bi_Color,TRUE,7.5
647,12.49,4.21,rivers,6.9,White,TRUE,22.1
648,5.81,10.9,idlewater,7.5,White,FALSE,6.1
649,18.85,18.82,ponds,7.8,Orange,FALSE,2.8
650,15.19,15.32,ponds,6.3,Green_and_Chocolate,TRUE,7.6
651,18.86,18.39,rivers,7.3,Reddish_Orange,FALSE,15.8
652,15.87,5.26,lakes,7.6,Red_and_Silver,FALSE,6.8
653,16.48,6.84,slowmovingwaters,7.4,Green_and_Chocolate,FALSE,11.7
654,18.47,15.1,slowmovingwaters,6.2,Green_and_Chocolate,FALSE,21
655,7.67,14.28,idlewater,7.6,Reddish_Orange,FALSE,27.2
656,2.43,12.37,slowmovingwaters,7.2,Reddish_Orange,TRUE,2
657,1,12.52,lakes,7.4,Red_and_White_Bi_Color,FALSE,2.3
658,13.3,8.09,ponds,6.6,Calico,TRUE,12.8
659,16.83,5.08,ponds,7.8,Reddish_Orange,TRUE,14.2
660,8.27,17.35,rivers,6.8,Reddish_Orange,FALSE,8.7
661,13.58,13.68,lakes,6.8,White,TRUE,23.4
662,8.05,16.73,slowmovingwaters,6.7,Red_and_White_Bi_Color,TRUE,18
663,11.43,6.47,lakes,6.9,Orange,TRUE,7.6
664,16.34,14.79,lakes,7.5,Reddish_Orange,TRUE,21.1
665,13.06,11.67,rivers,7.1,White,FALSE,11.5
666,1.5,16.32,idlewater,7.9,Yellow,TRUE,27.4
667,5.45,11.42,idlewater,6.4,Orange,TRUE,8.7
668,14.37,15.76,rivers,7.2,Black_and_Orange,FALSE,6.1
669,5.5,17.5,slowmovingwaters,7,White,FALSE,2
670,7.34,12.34,slowmovingwaters,7.6,Calico,FALSE,21.3
671,7.03,2,rivers,6.3,Yellow,TRUE,12
672,9.64,11.96,idlewater,6.4,Green_and_Chocolate,TRUE,9.3
673,4.63,17.7,idlewater,6.5,White,TRUE,9.5
674,8.27,2.85,lakes,7.1,Red_and_White_Bi_Color,TRUE,20.8
675,2.14,11.71,ponds,7.2,White,FALSE,2.9
676,10.77,14.96,slowmovingwaters,7.3,Yellow,FALSE,27.8
677,16.92,13.45,rivers,7.7,Black_and_Orange,FALSE,23.5
678,8.05,2.52,lakes,7.8,Green_and_Chocolate,FALSE,14
679,13.63,2.04,slowmovingwaters,7.4,Black_and_Orange,FALSE,14
680,17.35,6.45,ponds,7.3,Calico,FALSE,4
681,4.25,13.85,lakes,7.8,Reddish_Orange,FALSE,7
682,16.91,6.55,rivers,6.4,Calico,FALSE,9.6
683,16.75,18.8,lakes,7.1,White,TRUE,9.2
684,6.9,16.6,rivers,7.4,Red_and_White_Bi_Color,TRUE,21.5
685,9.21,10.59,lakes,7.9,Yellow,FALSE,25.9
686,13.71,9.65,rivers,7.3,Red_and_White_Bi_Color,TRUE,1.8
687,1.45,15.96,slowmovingwaters,6.8,Green_and_Chocolate,FALSE,16
688,17.79,15.77,lakes,6.9,Green_and_Chocolate,FALSE,21.1
689,6.42,10.51,ponds,7.1,Red_and_Silver,FALSE,8.4
690,4.2,15.41,slowmovingwaters,7.9,Reddish_Orange,TRUE,9.3
691,7.59,10.19,idlewater,8,Red_and_White_Bi_Color,FALSE,7.9
692,15.7,14.68,idlewater,6.3,Red_and_White_Bi_Color,FALSE,16.5
693,12.63,15.68,lakes,6.1,Black_and_Orange,FALSE,19.5
694,7.08,13.78,idlewater,7.3,Reddish_Orange,TRUE,25.6
695,10.95,17.51,lakes,6.5,Green_and_Chocolate,TRUE,1.6
696,6.99,10.46,slowmovingwaters,7.3,Red_and_White_Bi_Color,TRUE,27
697,4,2.27,slowmovingwaters,6.6,Yellow,TRUE,1.5
698,15.74,11.48,ponds,6.6,Red_and_Silver,FALSE,16.3
699,9.7,3.65,idlewater,6.9,White,TRUE,5.3
700,15.56,18.23,rivers,7.7,Red_and_Silver,FALSE,16.2
701,10.86,3.31,lakes,7.5,Reddish_Orange,FALSE,22.9
702,19.05,15.83,slowmovingwaters,6.2,Red_and_White_Bi_Color,TRUE,27.8
703,3.17,9.56,ponds,6.4,Red_and_Silver,FALSE,5
704,3.11,17.9,idlewater,7.4,Calico,FALSE,17.8
705,1.17,18.41,lakes,6.2,Black_and_Orange,TRUE,15.2
706,13.93,2.89,ponds,7.2,White,TRUE,27.6
707,4.6,6.53,lakes,7,Orange,TRUE,10.6
708,5.57,11.24,ponds,8,Yellow,TRUE,19
709,5.41,18.31,ponds,6.4,Green_and_Chocolate,FALSE,10.6
710,14.63,12.97,lakes,7.9,Red_and_Silver,FALSE,18.4
711,15.18,16.73,idlewater,6.9,Reddish_Orange,TRUE,4.3
712,18.62,4.82,ponds,6.9,White,TRUE,12.1
713,17.19,4.43,idlewater,7.8,Red_and_White_Bi_Color,FALSE,2.6
714,16.94,15.84,rivers,6.5,Orange,FALSE,7
715,11,11.55,ponds,7.4,Red_and_Silver,FALSE,10.1
716,19.28,10.79,ponds,7.9,Orange,TRUE,2.9
717,2.89,12.47,idlewater,6.9,Green_and_Chocolate,FALSE,27.5
718,10.88,17.87,slowmovingwaters,6.9,Calico,TRUE,20.2
719,16.39,15.33,idlewater,7.4,Green_and_Chocolate,FALSE,22.6
720,8.55,14.79,rivers,7.5,Black_and_Orange,FALSE,24.4
721,8.91,2.35,slowmovingwaters,6.1,Orange,FALSE,22.4
722,18.67,11.3,lakes,7.8,Red_and_Silver,FALSE,21.2
723,2.82,16.44,lakes,6.4,Reddish_Orange,TRUE,26.7
724,7.75,5.06,idlewater,6.2,Reddish_Orange,FALSE,27.6
725,6.72,9.83,rivers,7.3,Red_and_White_Bi_Color,TRUE,27.3
726,8.01,7.53,idlewater,6.7,Yellow,TRUE,13.2
727,14.42,17.07,rivers,7.3,Calico,FALSE,12.1
728,16.21,4.42,ponds,6.2,Black_and_Orange,FALSE,19.1
729,4.75,13.48,ponds,6.1,Red_and_White_Bi_Color,FALSE,24.7
730,17.57,15.35,idlewater,6.1,Yellow,FALSE,5.5
731,13.89,3.26,rivers,7.8,Red_and_Silver,FALSE,3.9
732,12.56,9.57,slowmovingwaters,7.6,Green_and_Chocolate,TRUE,24
733,13.92,10.2,ponds,7.7,Red_and_Silver,FALSE,23.1
734,8.71,2.8,lakes,7.9,Black_and_Orange,FALSE,7.4
735,8.88,5.53,ponds,7.6,Orange,FALSE,15.3
736,18.77,6.36,lakes,7.6,Reddish_Orange,FALSE,17.7
737,5.74,18.7,ponds,6.8,Green_and_Chocolate,TRUE,11.2
738,3.3,11.45,rivers,7.5,Red_and_White_Bi_Color,TRUE,27.8
739,11.69,3.76,rivers,7.6,Reddish_Orange,TRUE,9.3
740,13.99,8.01,idlewater,6.2,Orange,FALSE,12.9
741,12.04,18.47,ponds,7.2,White,TRUE,3.4
742,17.97,12.4,idlewater,6.5,Reddish_Orange,TRUE,8.3
743,8.95,5.52,rivers,6.6,Red_and_White_Bi_Color,FALSE,12.8
744,17.84,17.06,lakes,7.6,White,FALSE,27.6
745,6.53,13.21,idlewater,6.3,Green_and_Chocolate,TRUE,18
746,5.62,16.42,ponds,6.5,Red_and_Silver,FALSE,2.4
747,18.23,14.25,slowmovingwaters,7.7,Green_and_Chocolate,TRUE,1.4
748,16.52,2.13,slowmovingwaters,7.8,Reddish_Orange,FALSE,24
749,16.29,4.7,idlewater,6.3,Reddish_Orange,TRUE,20.1
750,2.48,5.23,lakes,6.6,Black_and_Orange,FALSE,14.5
751,10.4,12.21,slowmovingwaters,6.2,Reddish_Orange,TRUE,6.9
752,10.92,18.09,ponds,7.8,Black_and_Orange,TRUE,7.5
753,4.21,13.75,idlewater,7.9,Orange,FALSE,25.3
754,7.37,14.38,rivers,7.3,Green_and_Chocolate,TRUE,16
755,10.25,9.19,lakes,7.8,Green_and_Chocolate,FALSE,12.5
756,14.78,3.17,ponds,7.1,Orange,FALSE,2.3
757,9.27,6.41,idlewater,7.5,Orange,FALSE,8.6
758,17.94,4.64,slowmovingwaters,7.5,Reddish_Orange,TRUE,14
759,8.67,10.86,idlewater,6.7,Green_and_Chocolate,TRUE,25.8
760,8.05,11.82,slowmovingwaters,6.3,Yellow,TRUE,12.4
761,14.32,2.61,lakes,6,Green_and_Chocolate,TRUE,13.9
762,13.46,3.1,ponds,7.8,Red_and_Silver,TRUE,12.2
763,7.56,5.19,ponds,7.1,Reddish_Orange,FALSE,19.6
764,9.36,14.73,lakes,6.7,Red_and_Silver,TRUE,9.6
765,4.65,3.56,slowmovingwaters,7.8,Orange,FALSE,7.2
766,5.48,6.77,idlewater,7.6,Reddish_Orange,FALSE,12.7
767,16.36,12.08,rivers,6.8,Green_and_Chocolate,TRUE,12.3
768,14.83,7.42,ponds,7.5,Red_and_White_Bi_Color,FALSE,19.6
769,14.95,10.89,ponds,6.3,Orange,FALSE,2.3
770,17.41,6.05,rivers,7,Yellow,TRUE,5
771,6.84,8.21,slowmovingwaters,6.5,Black_and_Orange,FALSE,27.8
772,17.71,2.25,ponds,7.4,Calico,FALSE,9.1
773,19.52,6.27,slowmovingwaters,7,Red_and_White_Bi_Color,TRUE,17.2
774,14.69,16.4,lakes,7.1,Red_and_Silver,FALSE,12.9
775,16.42,10.55,lakes,7.6,White,TRUE,4.2
776,4.82,2.96,idlewater,6.3,Calico,TRUE,15.7
777,12.86,14.33,idlewater,6,Red_and_White_Bi_Color,FALSE,22.9
778,1.06,11.01,slowmovingwaters,7.6,Red_and_Silver,FALSE,1.2
779,18.24,14.32,lakes,6.1,Reddish_Orange,FALSE,14.2
780,2.22,18.43,idlewater,7.3,Green_and_Chocolate,FALSE,1.3
781,18.26,12.43,rivers,6.3,Orange,FALSE,16.8
782,3.31,9.05,lakes,7.6,Reddish_Orange,TRUE,20.7
783,13.01,9.09,slowmovingwaters,7,Yellow,FALSE,6.6
784,5.19,8.64,ponds,7.9,Black_and_Orange,FALSE,26.3
785,15.05,2.67,ponds,6.7,White,TRUE,16
786,4.23,16.7,rivers,7.6,Red_and_White_Bi_Color,FALSE,2.1
787,5.03,2.93,ponds,6.3,Black_and_Orange,TRUE,2.7
788,8.91,17.85,ponds,6.5,Yellow,FALSE,21.6
789,17.65,15.7,ponds,6.2,Green_and_Chocolate,FALSE,20.1
